Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,custom cat (product.metafields.custom.custom_cat),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
individual-annual-membership,,,,,,,,,ACT Resident (Concession),,,,,,,,MEM-IND-ACT-C,0.0,,0,continue,manual,30.00,,false,false,,,,,,,,,,,,,,lb,,,
individual-annual-membership,,,,,,,,,Non-ACT Resident,,,,,,,,MEM-IND-NACT,0.0,,0,continue,manual,30.00,,false,false,,,,,,,,,,,,,,lb,,,
individual-annual-membership,,,,,,,,,Non-ACT Resident (Concession),,,,,,,,MEM-IND-NACT-C,0.0,,0,continue,manual,20.00,,false,false,,,,,,,,,,,,,,lb,,,
national-archives-notebook-pen-bundle,National Archives Notebook & Pen Bundle,<p>An A5 hardcover notebook paired with a National Archives branded pen. The notebook features archival imagery on the cover and 200 lined pages. Perfect for researchers and history lovers.</p>,National Archives of Australia,Uncategorized,Stationery,"Gift, National Archives, Pen, Physical, Stationery",true,Title,Default Title,,,,,,,,PEN-NB-BNDL,250.0,shopify,100,deny,manual,24.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0757/4106/9469/files/bullet-wooden-pen-gift.webp?v=1771888831,1,"",false,National Archives Notebook & Pen Bundle – National Archives of Australia,An A5 hardcover notebook paired with a National Archives branded pen. The notebook features archival imagery on the cover and 200 lined pages. Perfect for resea,,,g,,,active
national-archives-notebook-pen-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0757/4106/9469/files/9348980001954.webp?v=1771888681,2,"",,,,,,,,,
wartime-collection-pen-set,Wartime Collection Pen Set,<p>A set of two premium pens featuring iconic wartime imagery from the National Archives collection. Includes a ballpoint and a rollerball pen in a commemorative presentation case.</p>,National Archives of Australia,Uncategorized,Stationery,"Gift, National Archives, Pen, Physical, Stationery",true,Title,Default Title,,,,,,,,PEN-WAR-SET,80.0,shopify,100,deny,manual,29.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0757/4106/9469/files/9348980001954.webp?v=1771888681,1,"",false,Wartime Collection Pen Set – National Archives of Australia,A set of two premium pens featuring iconic wartime imagery from the National Archives collection. Includes a ballpoint and a rollerball pen in a commemorative p,,,g,,,active
national-archives-commemorative-pen,National Archives Commemorative Pen,<p>A quality ballpoint pen featuring the National Archives of Australia crest. Presented in a gift box. A perfect memento or gift for history enthusiasts.</p>,National Archives of Australia,Uncategorized,Stationery,"Gift, National Archives, Pen, Physical, Stationery",true,Title,Default Title,,,,,,,,PEN-COMM-01,30.0,shopify,100,deny,manual,14.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0757/4106/9469/files/BN55525.webp?v=1771888874,1,"",false,National Archives Commemorative Pen – National Archives of Australia,A quality ballpoint pen featuring the National Archives of Australia crest. Presented in a gift box. A perfect memento or gift for history enthusiasts.,,,g,,,active
the-home-front-australia-wwii,The Home Front: Australia During WWII,"<p>An in-depth exploration of life on the Australian home front during the Second World War. Discover the stories of rationing, volunteering, and resilience drawn from the National Archives' rich collection.</p>",National Archives of Australia,Media > Books,Book,"Australian History, Book, History, Physical, Wartime",true,Title,Default Title,,,,,,,,BOOK-HF-WW2,320.0,shopify,50,deny,manual,29.95,,true,true,,,,,,,,,false,The Home Front: Australia During WWII – National Archives of Australia,"An in-depth exploration of life on the Australian home front during the Second World War. Discover the stories of rationing, volunteering, and resilience drawn ",,,g,,,active
letters-from-the-front,Letters from the Front: Voices of Australian Soldiers,"<p>A moving collection of letters, diaries and personal accounts from Australian service men and women. Sourced from original records held in the National Archives. A powerful tribute to the Australian spirit.</p>",National Archives of Australia,Media > Books,Book,"Australian History, Book, History, Physical, Wartime",true,Title,Default Title,,,,,,,,BOOK-LF-01,280.0,shopify,49,deny,manual,34.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0757/4106/9469/files/9781409102793.webp?v=1771888940,1,"",false,Letters from the Front: Voices of Australian Soldiers – National Archives of Australia,"A moving collection of letters, diaries and personal accounts from Australian service men and women. Sourced from original records held in the National Archives",,,g,,,active
australia-at-war-pictorial-history,Australia at War: A Pictorial History,<p>A stunning pictorial history covering Australia's involvement in major conflicts from the Boer War to modern peacekeeping missions. Filled with rare photographs and documents from the National Archives collection.</p>,National Archives of Australia,Media > Books,Book,"Australian History, Book, History, Physical, Wartime",true,Title,Default Title,,,,,,,,BOOK-AW-PH,350.0,,49,deny,manual,39.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0757/4106/9469/files/9772982289001_a_AU_-_issues_1_2.webp?v=1771888796,1,"",false,Australia at War: A Pictorial History – National Archives of Australia,A stunning pictorial history covering Australia's involvement in major conflicts from the Boer War to modern peacekeeping missions. Filled with rare photographs,,,g,,,active
donation,Donation to the National Archives,<p>Support the National Archives of Australia. Your generous donation helps preserve and share Australia's national memory. Choose a preset amount or enter a custom amount. All donations gratefully received.</p>,National Archives of Australia,,Donation,"Donation, Gift, Support",true,Amount,$10,,,,,,,,DONATE-10,0.0,,0,continue,manual,10.00,,false,false,,,,,,,,,false,Donate to the National Archives of Australia,Support the preservation and sharing of Australia's national memory. Make a donation to the National Archives of Australia.,,,lb,,,active
donation,,,,,,,,,$50,,,,,,,,DONATE-50,0.0,,0,continue,manual,50.00,,false,true,,,,,,,,,,,,,,lb,,,
donation,,,,,,,,,$100,,,,,,,,DONATE-100,0.0,,0,continue,manual,100.00,,false,true,,,,,,,,,,,,,,lb,,,
donation,,,,,,,,,Custom Amount,,,,,,,,DONATE-FREE,0.0,,0,continue,manual,0.00,,false,true,,,,,,,,,,,,,,lb,,,
photocopies,Photocopies (Not Whole Files),"<p>Individual page photocopies from records held by the National Archives. Available in black &amp; white or colour at A4/A3 size, or as self-service prints from RecordSearch. Prices in AUD per page, effective from 1 July 2019.</p>",National Archives of Australia,,Copy Service,"Copy Service, Photocopies, Printing",true,Type,B&W A4/A3 (per page),,,,,,,,COPY-BW,0.0,,0,continue,manual,1.55,,false,true,,,,,,,,,false,Photocopy Service – National Archives of Australia,"Order individual page photocopies from National Archives records. B&W, colour, and self-service options available.",,,lb,,,unlisted
photocopies,,,,,,,,,Colour A4/A3 (per page),,,,,,,,COPY-COL,0.0,,0,continue,manual,2.10,,false,true,,,,,,,,,,,,,,lb,,,
photocopies,,,,,,,,,Self-Service Print from RecordSearch (per page),,,,,,,,COPY-SELF,0.0,,0,continue,manual,1.55,,false,true,,,,,,,,,,,,,,lb,,,
certified-true-copy,Certified True Copy,"<p>Certified true copies of records held by the National Archives. Includes postage. First page stamped certified. It is your responsibility to determine whether a certified copy is required. Prices in AUD, effective from 1 July 2019.</p>",National Archives of Australia,,Certification Service,"Certification, Certified Copy, Legal",true,Type,Domestic â Up to 10 pages or cover (incl. postage),,,,,,,,CERT-DOM-10,100.0,,0,continue,manual,46.90,,true,true,,,,,,,,,false,Certified True Copy Service – National Archives of Australia,Order certified true copies of National Archives records. Domestic and international options available. Includes postage.,,,g,,,unlisted
certified-true-copy,,,,,,,,,"Domestic â Additional pages (per page, over 10pp)",,,,,,,,CERT-DOM-ADD,0.0,,0,continue,manual,5.75,,false,true,,,,,,,,,,,,,,lb,,,
certified-true-copy,,,,,,,,,"International, Up to 10 pages or cover (incl. postage)",,,,,,,,CERT-INT-10,0.0,,0,continue,manual,58.38,,false,true,,,,,,,,,,,,,,lb,,,
certified-true-copy,,,,,,,,,"International â Additional pages (per page, over 10pp)",,,,,,,,CERT-INT-ADD,0.0,,0,continue,manual,5.23,,false,true,,,,,,,,,,,,,,lb,,,
delivery-media-postage,Delivery Media & Postage,"<p>Optional USB delivery and postage for audiovisual copy orders. Each 8 GB USB holds approximately 8.5 hours of MP4 footage or 150 hours of MP3 audio. Large requests may require multiple USBs. Prices in AUD, effective from 1 July 2019.</p>",National Archives of Australia,,Service Add-on,"Add-on, Delivery, Postage, USB",true,Option,USB Delivery Media,,,,,,,,DEL-USB,50.0,,0,continue,manual,16.70,,true,true,,,,,,,,,false,Delivery Media & Postage – National Archives of Australia,Add USB delivery media or postage to your National Archives copy order. Registered and express postage options available.,,,g,,,unlisted
delivery-media-postage,,,,,,,,,Registered Postage (Domestic),,,,,,,,DEL-POST-REG,0.0,,0,continue,manual,9.70,,false,true,,,,,,,,,,,,,,lb,,,
delivery-media-postage,,,,,,,,,Express Postage (Domestic),,,,,,,,DEL-POST-EXP,0.0,,0,continue,manual,24.60,,false,true,,,,,,,,,,,,,,lb,,,
audiovisual-copy-service,Audiovisual Copy Service,"<p>Digital copies of audiovisual records from the National Archives collection. Audio delivered as MP3, video and film as MP4. Delivered via Secure File Transfer (SFT) at no extra charge, or on USB for an additional fee. Prices in AUD, effective from 1 July 2019.</p>",National Archives of Australia,,Digital Service,"Audio, Audiovisual, Copy Service, Digital, Film, Video",true,Format,Audio (MP3),,,,,,,,AV-AUDIO,0.0,,-1,continue,manual,93.85,,false,true,,,,,,,,,false,Audiovisual Copy Service – National Archives of Australia,"Order digital copies of audio, video, and film records from the National Archives. MP3, MP4 formats available. Delivered via Secure File Transfer or USB.",,,lb,,,unlisted
audiovisual-copy-service,,,,,,,,,Video (MP4),,,,,,,,AV-VIDEO,0.0,,-3,continue,manual,109.50,,false,true,,,,,,,,,,,,,,lb,,,
audiovisual-copy-service,,,,,,,,,Film (MP4),,,,,,,,AV-FILM,0.0,,-1,continue,manual,203.30,,false,true,,,,,,,,,,,,,,lb,,,
audiovisual-copy-service,,,,,,,,,Film with Separate Audio Track (per set),,,,,,,,AV-FILM-AUD,0.0,,0,continue,manual,329.00,,false,true,,,,,,,,,,,,,,lb,,,
photograph-copy-service,Photograph Copy Service,"<p>High-resolution digital copies of photographic records. Items under A3 provided at A4 400 ppi; items over A3 provided at 100% 400 ppi. Delivered via Secure File Transfer (SFT). Prices in AUD, effective from 1 July 2019.</p>",National Archives of Australia,,Digital Service,"Copy Service, Digital, Images, Photographs",true,Original Size,Under A3 (e.g. film and prints),,,,,,,,PHOTO-U-A3,0.0,,-5,continue,manual,39.15,,false,true,,,,,,,,,false,Photograph Copy Service – National Archives of Australia,"Order high-resolution digital copies of photographs, films, maps and plans from the National Archives. Delivered via Secure File Transfer.",,,lb,,,unlisted
photograph-copy-service,,,,,,,,,Over A3 (e.g. maps and plans),,,,,,,,PHOTO-O-A3,0.0,,-2,continue,manual,85.50,,false,true,,,,,,,,,,,,,,lb,,,
recordsearch-digitisation,RecordSearch Digitisation,"<p>An image of each page of the record is made available online for public viewing on RecordSearch. Charges are based on the average file size within a series, not individual records. Prices in AUD, effective from 1 July 2019.</p>",National Archives of Australia,,Digital Service,"Copy Service, Digital, Digitisation, RecordSearch",true,File Size,Small (up to 10 pages),,,,,,,,DIG-SM,0.0,,-19,continue,manual,29.10,,false,true,,,,,,,,,false,RecordSearch Digitisation Service – National Archives of Australia,Order digitisation of National Archives records for online viewing on RecordSearch. Small to very large paper files available.,,,lb,,,unlisted
recordsearch-digitisation,,,,,,,,,Small-Medium (11-50 pages),,,,,,,,DIG-SMD,0.0,,-7,continue,manual,39.90,,false,true,,,,,,,,,,,,,,lb,,,
recordsearch-digitisation,,,,,,,,,Standard (51-100 pages),,,,,,,,DIG-STD,0.0,,-5,continue,manual,79.15,,false,true,,,,,,,,,,,,,,lb,,,
recordsearch-digitisation,,,,,,,,,Large (101-400 pages),,,,,,,,DIG-LG,0.0,,-2,continue,manual,245.40,,false,true,,,,,,,,,,,,,,lb,,,
recordsearch-digitisation,,,,,,,,,Very Large (401+ pages. quote provided),,,,,,,,DIG-VLG,0.0,,0,continue,manual,0.00,,false,true,,,,,,,,,,,,,,lb,,,
